Review,Date,Stars
"12/11/22 Incredibly fickle app. Works well at times and then doesn't work at all. Super frustrating. Edit: 3/21/24 Not much has changed. Edit: 4/27/25 Why does the app open normally then say it's unavailable? Sign in and it reverts to unavailable again? Edit: 5/9/25 Sign in, app signs me out, displays sign in window. Sign in and app opens, displays signed out message. Can't see accounts. Like this for weeks. App is garbage, dev sucks. 👎👎",2025-05-09,1
"No I didn't turn off biometrics but please do it for me at least once a day. Ive forced stopped, cleared cach, updated, uninstalled, reinstalled and even when I got a new phone the same thing happens. Also why is it next to impossible to login before 8a?",2025-05-09,1
"I used to love this app. hasn't worked for months. some update won't let me open it anymore. I have done an uninstall twice and reinstall to no avail. I'm on a new samsun galaxy note phone too. and because this doesn't work, I can't use Zelle cash app as it want to open this app to use Zelle. 😑😡",2025-05-08,1
"This version is very buggy. When I open the app after closing it earlier it logs me out and says my session has ended log back in, but that's exactly what I just did.",2025-05-08,1
App crashes and places you back to the log in screen when you take the second photo of a paper check. Using mobile deposit the second time works. Still broken as of 5/08/2025,2025-05-08,1
Thiss bank is the worst bank I've ever had from the bottom to the top the people working here are clueless and outright rude,2025-05-08,1
always issues,2025-05-08,1
The login keeps resetting and turning off the biometric login. I have to set it up again every time I login. I have uninstalled and reinstalled the app several times and it has the same issue.,2025-05-08,1
App logs me out whenever I'm in the middle of mailing a check deposit. It takes at least 2 tries before the transaction is successful.,2025-05-08,1
"This is the most garbage app I have used. Constantly removing my use of biometrics, asking me I would like to use them, only to disable the use again. Signing me out as soon as I log in. Requiring me to uninstall and reinstall roughly once every two or three months. Absolutely unacceptable for a banking app.",2025-05-08,1
check deposit crashes after 2nd photo. random crashes. service not available messages. log in takes two attempts to work. bad app,2025-05-08,1
1. When I open the app it says I am logged out of my accounts and I end up having to close the app and reopen it. 2. Logging in with fingerprint biometrics intermittently doesn't work and I have to enroll again PLEASE fix these bugs because I login to my account daily.,2025-05-08,1
Glitchy,2025-05-08,1
APP IS NOT WORKING TO LOCK CARD,2025-05-08,1
"so the app is decent, but every two/three days biometric stops working. I have to re-enroll in it again and again and again. i have cleared the cache, cleared storage, uninstalled and reinstalled the app nothing works. Lately, it would sign in but then kick me out again. Terrible experience.",2025-05-07,1
This app signs me out every time I sign in wether it's with biometric sign or or with my password! I have to sign in 2 times everyday and it turns off fingerprints sign in. Fix this app. I never had problems when it was BBVA but since PNC took over I have problems all the time I sign in.,2025-05-07,1
Updated from my last review. Stopped working. Won't even open. Stuck on the PNC icon opening page. Have to use the online website to get my information.,2025-05-07,1
App crashes a lot lately. Very unreliable. 4/14/25 Upgraded phone to Android 15/OneUI 7. App still crashing when taking photo of back of check for deposit. 5/7/25 App crashed/froze trying to retake the photo of the front of a check. Please fix your app!,2025-05-07,1
"This app has always been clunky and I've experienced many of the same issues other users have (not saving biometric login, app crashes when taking photo of deposit, etc.). Following the update to their ""new banking platform"", the app gets hung up on the launch screen. I've reinstalled the app, restarted my phone, launched it over a dozen times, and it's just not functional. Time to find a new bank...",2025-05-07,1
"app is so bad that I'm leaving PNC altogether. Immediately signs you out upon a successful login, essentially making you log in twice. Biometrics is constantly getting disabled on its own. And then the app has the audacity to ask you to set up biometrics right after they unexpectedly disabled it. Closing the account I've had for years and moving to TD. see ya",2025-05-06,1
This app crashes or not working 90% of the time,2025-05-06,1
"This app continually closes or boots me out. it also says my credentials are not correct when they are. When trying to deposit checks, it glitches and does not complete the process.",2025-05-06,1
FIX YOUR APP,2025-05-06,1
Every time a deposit attempt is made the app crashes and you have to log back in. This has been happening for more than a month. No fix or update available.,2025-05-06,1
The app will not remember biometrics and you also have to sign in twice every time before you're able to get in.,2025-05-06,1
"Update: Over a year later, and this app is still just as clunky as before. However, now it's managed to become less reliable. I can't even manage to make a mobile deposit now. I've been a PNC customer for a very long time, but this app is making me seriously consider switching banks. Frustrating how clunky the log in process is. Another update: Still a really, really bad app. Pretty sad, PNC.",2025-05-05,1
Hate this app! It's so hard to use. Wells Fargos mobile banking is much easier and very direct. I feel like I have to go through a maze on this app just 7 find out my account information.,2025-05-05,1
Can't log on for many days now,2025-05-05,1
"Everytime I try to log in it turns off biometrics. I haven't changed any credentials yet it keeps turning off biometrics. The biometrics worked great for years, don't know why its been turning off suddenly. This has been happening the last few months or so. Update 1/25/25: I'm still having this issue where the biometrics are being turned off. It's happened less frequently than before but it's still happening. Seriously debating switching banks. Update (May, 2025): still turning off biometrics.",2025-05-05,1
biometric never works. app is always down.,2025-05-05,1
Once a month I have to reset password been keeping track on my calendar this is crazy and a pain.,2025-05-05,1
Just got this acct a few days ago. Deposited a nice size check now it won't let me use ANY of the methods they boast abt to resurrect my money. 😡 Then it asked me to verify a transaction using a phone number that I don't know and that is not even connected to my acct. This is trash,2025-05-05,1
Often crashes or is unavailable. Biometrics don't work half of the time. Can't search transaction history by name of payer and only last 90 days of history is available through the app. Needs lots of improvements!,2025-05-04,1
"can't pay with an external account from the app, and there is no option to pay the REMAINING statement balance",2025-05-04,1
"oh great, not only does it kick me out of Zelle when I need it, completely locking me out after one failed attempted, now I can't even get IN the app at all... greaaaat",2025-05-04,1
crashes a lot,2025-05-04,1
"Used to work fine. Now every time I sign in it just signs me out, biometrics doesn't work anymore,even if I turn it on again and again. I too get the message that it isn't available and then it actually is, again after I sign in multiple times.",2025-05-04,1
poorly coded app very glitchy,2025-05-03,1
"Constantly crashes, doesn't always allow mobile deposit and when it does it doesn't always allow speedy deposits. Doesn't always allow transfers either. All around poorly optimized app. The last year the updates have made this app awful.",2025-05-03,1
I'm extremely disappointed with the PNC app. It feels like being stuck in the past. Why even have an app if you can't pay your credit card from another bank through it? I have to use a computer for something as basic as this. Very disappointed in the developers—big thumbs down.,2025-05-02,1
this app hasn't worked for at least a week for me,2025-05-02,1
I don't want to do updates. It makes it harder to get into and messes things up. Stop doing it on mine!,2025-05-02,1
The worst banking app there is. This platform cannot even perform simple arithmetic which led to my account being overdrafted. It said my available balance was greater against my expenses and there has not been any transaction activity for the past 3 days then the next day it suddenly goes negative. I cannot fathom a banking app that cannot even do simple math and ends up having the audacity to overdraft my account and charge me 36 dollars as a fee. This banking app is faulty and misleading.,2025-05-02,1
Bank sucks,2025-05-02,1
"The unusability of this app will be a not-insignificant part of me leaving PNC as my bank. Random service outages for the whole app or one of its many parts, constant login issues, and an overly complicated transfer system for everyday account transfers are just some of the many struggles i find daily when trying to manage my money.",2025-05-01,1
I absolutely hate this app. It is literally the worst written app on the Play store. Logs you out the very second you log in also biometrics constantly stops working.,2025-05-01,1
This app is about to make me swap banks. I cannot log in without it making me close app and retry. Now its just a white screen whenever I open it. What a piss poor app,2025-05-01,1
"Edit: after the most recent updates, I'm no longer able to deposit checks via the app, even with reboots and reinstalls. ""Tell us more: is this app good for depositing checks?"" No, not at all. This is seriously the feature I use the most and it is broken more often than it works. This is not acceptable. this has been an ongoing issue for months and months. I wish I could leave zero stars. I'm frustrated enough I might even switch banks, despite the hassle.",2025-05-01,1
