Review,Date,Stars
Terrible experience. I get approved for card on May 3.I Tried to sign in the app on May 4 it had a old account from a previous card .I called to update My information they told me that I was ldentifyed.I tried to use the app I still could not.I was told I need to wait still nothing. Then I was told to get a new card so I can get a virtual card and I could shop until the new on came .I don t have a virtual card. My new card came today but I can t use it because it s deactivated. Horrible.,2025-05-09,1
it's awful and for some stupid reason I can't pay my bill now...thanks for that re re update,2025-05-09,1
Unable to login to the app...it just sits in the dreaded circle of death. Frustrating that to sign into the web application but be led to the app.,2025-05-09,1
"Who created this update? I hate it, The recent update has introduced display changes that create difficulties for individuals with vision impairments.",2025-05-09,1
not happy can't get into my account,2025-05-09,1
DOESN'T WORK,2025-05-09,1
"Too many advertisements and pop ups from marketing. No clear way to see if your statement balance was completely paid, just says no payment due. This is misleading because someone may have only paid the minimum due amount. It's really annoying to see a new offer all the time. I just want to use my credit card and make my payments. Stop trying to get more from me. Its aggressive.",2025-05-09,1
it's a dumb app that didn't coordinated with messages I receive.,2025-05-09,1
difficult to operate,2025-05-09,1
They had their associate lie to me in order to get money from me. They told me after 3 payments the card would be reinstated. Now its 6 payments. I promise you will get $0.,2025-05-09,1
sucks,2025-05-09,1
customer service sent me in circles for a month!!,2025-05-08,1
removed my auto pay for some reason making my card over due twice,2025-05-08,1
terrible,2025-05-08,1
its has nothing but issues i dont like it,2025-05-08,1
"Requests me to confirm my income frequently, so I have to close and reopen to bypass this annoyance. Otherwise, I like the app.",2025-05-08,1
"This app plain sucks. Every single time that I attempt to log in, it's some BS about my password and log in. EVERY TIME!!",2025-05-08,1
horrible,2025-05-08,1
why am i being judged on accounts over 7 yrs old I am now in a position and have been on time with everything and above .,2025-05-08,1
I cannot see my acct,2025-05-08,1
"Why is it that I can set up a payment amount that is supposed to be recurring monthly, but you take out what you want, which is less than the amount I had put in place? I see that I'm being taken advantage of by you doing this, I end up paying more towards the interest than the principal this is so not right...",2025-05-08,1
the virtual card never works,2025-05-08,1
wouldnt stop asking me to rate it,2025-05-08,1
"Dear Capital One, Please remove my payment from my account immediately upon me making it. It's 2025, I'm pretty sure you can manage it. I don't have time to wait 3 days for you to take the payment when I've got other bills to pay.",2025-05-08,1
"Great app, but they destroy you with interest rates. Nearly got one card paid off, and just sent full payoff on the other one, once they are both paid off I wont be returning. Not until the interest rates go down. UPDATE: They put a delinquent inqury on my credit and I called to have it removed and they gave me a scam number for medical devices. CAPITOL ONE IS A HORRIBLE COMPANY AND I REDUCED RATING TO ONE STAR WILL NEVER USE THEM EVER AGAIN",2025-05-07,1
They really need to update their app!!,2025-05-07,1
Use a different bank staff are useless uneducated and will hang up on you never assisting you,2025-05-07,1
"I did not want to download this app on my phone. I have a completely different device I have all my accounts on. I'm very sorry if my payment is late, reason being I couldn't log in to the app thats where I want it to be. It's a shame that I had no choice to not download the app on my phone",2025-05-07,1
my account was closed for 27.00 and I cannot use the account for my direct deposit. nor can I open another one.,2025-05-07,1
Suddenly decided my Galaxy S8+ isn't compatible. So I have to use the website now. Really annoying. I loved this app. Hey Capital One wanna finance me a new phone? Otherwise this is what I've got.,2025-05-07,1
not up front,2025-05-07,1
App is annoying. It frequently asks to be reviewed and constantly makes the same offers that I don't care about every time I log in.,2025-05-07,1
"it won't let me open my gosh darn virtual card whatsoever when I put ""send me a code"" through my number is says ""we are unable to do this"" and comes up with some lames ahh excuses",2025-05-06,1
Mobile check deposit doesn't work.,2025-05-06,1
what is the phone number?,2025-05-06,1
zelle is non functional on this version,2025-05-06,1
somebody sent me money on Zelle and I can't get it because your app sucks...btw to I am already registered with Zelle,2025-05-06,1
unable to resolve any issue,2025-05-06,1
can't sign in my new account. I was on the phone for 45 minutes today and still nothing,2025-05-06,1
"I scanned the QR code to activate my new card, but the enable prompt did not respond, and there was no clue as to how to activate the card.",2025-05-06,1
difficulty signing up for zelle,2025-05-06,1
"HORRIBLE app. It's slow and glitchy. It allowed me to access a ""Get cash without your card"" function only to tell me that there was a ""snag"" and to try again later when I tried to use it. Then it says my password entered (which was correct) was WRONG and disabled the ""Get cash without your card"" function. I truly hate this app...",2025-05-06,1
terrible service,2025-05-06,1
